Timestamp,Seq,Movement,Phase,Rep,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
0.0113,8902,Rest,HAZIRLANIYOR...,0,497,0,0,687,0,0
0.0115,8903,Rest,HAZIRLANIYOR...,0,547,0,0,634,0,0
0.0118,8904,Rest,HAZIRLANIYOR...,0,579,0,0,597,0,1
0.0119,8905,Rest,HAZIRLANIYOR...,0,589,0,0,550,0,1
0.0120,8906,Rest,HAZIRLANIYOR...,0,579,0,0,454,0,0
0.0120,8907,Rest,HAZIRLANIYOR...,0,554,0,0,311,0,0
0.0120,8908,Rest,HAZIRLANIYOR...,0,510,0,0,152,0,4
0.0120,8909,Rest,HAZIRLANIYOR...,0,447,0,0,0,0,9
0.0120,8910,Rest,HAZIRLANIYOR...,0,367,0,7,0,0,0
0.0120,8911,Rest,HAZIRLANIYOR...,0,276,0,29,0,0,0
0.0123,8912,Rest,HAZIRLANIYOR...,0,181,0,48,0,0,0
0.0124,8913,Rest,HAZIRLANIYOR...,0,83,0,66,0,0,0
0.0124,8914,Rest,HAZIRLANIYOR...,0,0,0,85,0,0,0
0.0124,8915,Rest,HAZIRLANIYOR...,0,0,0,101,0,0,0
0.0125,8916,Rest,HAZIRLANIYOR...,0,0,228,115,0,0,0
0.0125,8917,Rest,HAZIRLANIYOR...,0,0,451,126,0,0,0
0.0125,8918,Rest,HAZIRLANIYOR...,0,0,655,134,0,0,0
0.0125,8919,Rest,HAZIRLANIYOR...,0,0,838,140,0,0,0
0.0125,8920,Rest,HAZIRLANIYOR...,0,0,997,144,0,1,0
0.0125,8921,Rest,HAZIRLANIYOR...,0,0,1127,145,0,5,0
0.0126,8922,Rest,HAZIRLANIYOR...,0,0,1222,137,0,8,2
0.0126,8923,Rest,HAZIRLANIYOR...,0,0,1284,120,0,9,3
0.0126,8924,Rest,HAZIRLANIYOR...,0,0,1316,96,0,9,4
0.0126,8925,Rest,HAZIRLANIYOR...,0,0,1318,68,0,10,5
0.0129,8926,Rest,HAZIRLANIYOR...,0,0,1281,40,55,11,6
0.0129,8927,Rest,HAZIRLANIYOR...,0,0,1204,13,140,10,5
0.0129,8928,Rest,HAZIRLANIYOR...,0,0,1091,0,218,9,4
0.0131,8929,Rest,HAZIRLANIYOR...,0,0,941,0,294,8,3
0.0272,8930,Rest,HAZIRLANIYOR...,0,0,751,0,374,6,2
0.0273,8931,Rest,HAZIRLANIYOR...,0,0,520,0,469,5,3
0.0273,8932,Rest,HAZIRLANIYOR...,0,0,256,0,580,6,4
0.0274,8933,Rest,HAZIRLANIYOR...,0,99,0,0,683,6,8
0.0274,8934,Rest,HAZIRLANIYOR...,0,194,0,0,757,6,9
0.0275,8935,Rest,HAZIRLANIYOR...,0,289,0,0,794,4,4
